agents;comms;simulations;mean;dvest;r;time
16;260;30;1.0;0.0;0.0;0:00.85
16;270;30;1.0;0.0;0.0;0:00.80
16;280;30;1.0;0.0;0.0;0:00.86
16;290;30;1.0;0.0;0.0;0:00.89
16;300;30;1.0;0.0;0.0;0:00.89
16;310;30;1.0;0.0;0.0;0:00.88
16;320;30;1.0;0.0;0.0;0:00.88
16;330;30;1.0;0.0;0.0;0:00.84
16;340;30;1.0;0.0;0.0;0:00.85
16;350;30;1.0;0.0;0.0;0:00.81
16;360;30;1.0;0.0;0.0;0:00.92
16;370;30;1.0;0.0;0.0;0:00.94
16;380;30;1.0;0.0;0.0;0:00.84
16;390;30;1.0;0.0;0.0;0:00.92
16;400;30;1.0;0.0;0.0;0:00.90
16;410;30;1.0;0.0;0.0;0:00.81
16;420;30;1.0;0.0;0.0;0:00.99
16;430;30;1.0;0.0;0.0;0:00.86
16;440;30;1.0;0.0;0.0;0:00.96
16;450;30;1.0;0.0;0.0;0:00.86
16;460;30;1.0;0.0;0.0;0:00.82
16;470;30;1.0;0.0;0.0;0:00.83
16;480;30;1.0;0.0;0.0;0:00.87
16;490;30;1.0;0.0;0.0;0:00.89
16;500;30;1.0;0.0;0.0;0:00.84
16;510;30;1.0;0.0;0.0;0:00.88
16;520;30;1.0;0.0;0.0;0:00.89
16;530;30;1.0;0.0;0.0;0:00.83
16;540;30;1.0;0.0;0.0;0:00.84
16;550;30;1.0;0.0;0.0;0:00.89
16;560;30;1.0;0.0;0.0;0:00.94
16;570;30;1.0;0.0;0.0;0:00.95
16;580;30;1.0;0.0;0.0;0:00.84
16;590;30;1.0;0.0;0.0;0:00.91
16;600;30;1.0;0.0;0.0;0:00.85
17;10;30;0.0;0.0;0.0;0:00.41
17;20;30;0.0;0.0;0.0;0:00.52
17;30;30;0.0;0.0;0.0;0:00.61
17;40;30;0.0;0.0;0.0;0:00.70
17;50;30;0.0;0.0;0.0;0:00.76
17;60;30;0.0;0.0;0.0;0:00.83
17;70;30;0.0;0.0;0.0;0:01.00
17;80;30;0.0;0.0;0.0;0:01.09
17;90;30;0.0;0.0;0.0;0:01.10
17;100;1050;0.12285714285714286;0.3284295888390743;0.019888274164766493;0:30.82
17;110;1800;0.24833333333333332;0.4321662280809535;0.01997813538170529;0:56.99
17;120;2310;0.39956709956709957;0.4899154376346261;0.01998899402024774;1:19.51
17;130;2400;0.5545833333333333;0.4971153064435998;0.019898428237698655;1:33.91
17;140;2070;0.6898550724637681;0.4626645235421502;0.01994266766427114;1:32.75
17;150;1530;0.803921568627451;0.39715837489224276;0.01991636248130801;1:02.16
17;160;960;0.890625;0.3122718145004234;0.019778516933214967;0:40.66
17;170;630;0.9317460317460318;0.25238159516657005;0.019745674488517377;0:27.55
17;180;390;0.958974358974359;0.19860431876822987;0.01977232794685796;0:17.33
17;190;150;0.9866666666666667;0.11508191810497569;0.018567408772215823;0:07.20
17;200;30;1.0;0.0;0.0;0:01.47
17;210;30;1.0;0.0;0.0;0:01.60
17;220;30;1.0;0.0;0.0;0:01.70
17;230;30;1.0;0.0;0.0;0:01.65
17;240;30;1.0;0.0;0.0;0:01.54
17;250;30;1.0;0.0;0.0;0:01.53
17;260;30;1.0;0.0;0.0;0:01.79
17;270;30;1.0;0.0;0.0;0:01.64
17;280;30;1.0;0.0;0.0;0:01.57
17;290;30;1.0;0.0;0.0;0:01.60
17;300;30;1.0;0.0;0.0;0:01.55
17;310;30;1.0;0.0;0.0;0:01.57
17;320;30;1.0;0.0;0.0;0:01.71
17;330;30;1.0;0.0;0.0;0:01.69
17;340;30;1.0;0.0;0.0;0:01.72
17;350;30;1.0;0.0;0.0;0:01.70
17;360;30;1.0;0.0;0.0;0:01.62
17;370;30;1.0;0.0;0.0;0:01.49
17;380;30;1.0;0.0;0.0;0:01.64
17;390;30;1.0;0.0;0.0;0:01.53
17;400;30;1.0;0.0;0.0;0:01.80
17;410;30;1.0;0.0;0.0;0:01.61
17;420;30;1.0;0.0;0.0;0:01.79
17;430;30;1.0;0.0;0.0;0:01.66
17;440;30;1.0;0.0;0.0;0:01.54
17;450;30;1.0;0.0;0.0;0:01.71
17;460;30;1.0;0.0;0.0;0:01.59
17;470;30;1.0;0.0;0.0;0:01.57
17;480;30;1.0;0.0;0.0;0:01.68
17;490;30;1.0;0.0;0.0;0:01.66
17;500;30;1.0;0.0;0.0;0:01.51
17;510;30;1.0;0.0;0.0;0:01.86
17;520;30;1.0;0.0;0.0;0:01.96
17;530;30;1.0;0.0;0.0;0:01.59
17;540;30;1.0;0.0;0.0;0:01.53
17;550;30;1.0;0.0;0.0;0:01.62
17;560;30;1.0;0.0;0.0;0:01.63
17;570;30;1.0;0.0;0.0;0:01.62
17;580;30;1.0;0.0;0.0;0:01.67
17;590;30;1.0;0.0;0.0;0:01.79
17;600;30;1.0;0.0;0.0;0:01.69
18;10;30;0.0;0.0;0.0;0:00.43
18;20;30;0.0;0.0;0.0;0:00.54
18;30;30;0.0;0.0;0.0;0:00.66
18;40;30;0.0;0.0;0.0;0:00.72
18;50;30;0.0;0.0;0.0;0:00.89
18;60;30;0.0;0.0;0.0;0:00.99
18;70;30;0.0;0.0;0.0;0:01.02
18;80;30;0.0;0.0;0.0;0:01.21
18;90;180;0.016666666666666666;0.12837619299299347;0.01888176341666884;0:06.58
18;100;690;0.07391304347826087;0.2618191211970504;0.019569894215513275;0:26.35
18;110;1290;0.15658914728682172;0.36355390896411666;0.019857750045876785;0:53.75
18;120;1710;0.22631578947368422;0.41856828439712257;0.01985290385628782;1:11.38
18;130;2340;0.4042735042735043;0.4908557869405308;0.019898432618249508;1:49.82
18;140;2370;0.5670886075949367;0.4955832408210504;0.019962387103496432;1:54.96
18;150;2070;0.6879227053140097;0.46345314708416707;0.019976660452588373;1:41.40
18;160;1590;0.7924528301886793;0.40567825713061856;0.019955480563069103;1:22.82
18;170;1080;0.8740740740740741;0.33191956392714317;0.01981784817446369;0:58.66
18;180;600;0.935;0.24673155608463715;0.019782244904462926;0:32.45
18;190;450;0.9533333333333334;0.21115864480040133;0.019562436646605157;0:24.74
18;200;30;1.0;0.0;0.0;0:01.97
18;210;30;1.0;0.0;0.0;0:02.15
18;220;30;1.0;0.0;0.0;0:01.92
18;230;30;1.0;0.0;0.0;0:01.91
18;240;30;1.0;0.0;0.0;0:01.97
18;250;30;1.0;0.0;0.0;0:01.83
18;260;30;1.0;0.0;0.0;0:02.04
18;270;30;1.0;0.0;0.0;0:02.05
18;280;30;1.0;0.0;0.0;0:02.11
18;290;30;1.0;0.0;0.0;0:01.96
18;300;30;1.0;0.0;0.0;0:01.97
18;310;30;1.0;0.0;0.0;0:02.42
18;320;30;1.0;0.0;0.0;0:01.96
18;330;30;1.0;0.0;0.0;0:01.94
18;340;30;1.0;0.0;0.0;0:01.90
18;350;30;1.0;0.0;0.0;0:01.87
18;360;30;1.0;0.0;0.0;0:01.77
18;370;30;1.0;0.0;0.0;0:02.11
18;380;30;1.0;0.0;0.0;0:01.98
18;390;30;1.0;0.0;0.0;0:02.02
18;400;30;1.0;0.0;0.0;0:02.03
18;410;30;1.0;0.0;0.0;0:02.04
18;420;30;1.0;0.0;0.0;0:01.91
18;430;30;1.0;0.0;0.0;0:02.30
18;440;30;1.0;0.0;0.0;0:01.90
18;450;30;1.0;0.0;0.0;0:02.05
18;460;30;1.0;0.0;0.0;0:02.02
18;470;30;1.0;0.0;0.0;0:02.03
18;480;30;1.0;0.0;0.0;0:01.79
18;490;30;1.0;0.0;0.0;0:01.96
18;500;30;1.0;0.0;0.0;0:01.87
18;510;30;1.0;0.0;0.0;0:01.98
18;520;30;1.0;0.0;0.0;0:01.90
18;530;30;1.0;0.0;0.0;0:02.09
18;540;30;1.0;0.0;0.0;0:01.97
18;550;30;1.0;0.0;0.0;0:02.00
18;560;30;1.0;0.0;0.0;0:01.84
18;570;30;1.0;0.0;0.0;0:01.89
18;580;30;1.0;0.0;0.0;0:02.15
18;590;30;1.0;0.0;0.0;0:01.95
18;600;30;1.0;0.0;0.0;0:02.02
19;10;30;0.0;0.0;0.0;0:00.46
19;20;30;0.0;0.0;0.0;0:00.58
19;30;30;0.0;0.0;0.0;0:00.71
19;40;30;0.0;0.0;0.0;0:00.81
19;50;30;0.0;0.0;0.0;0:00.97
19;60;30;0.0;0.0;0.0;0:01.11
19;70;30;0.0;0.0;0.0;0:01.24
19;80;30;0.0;0.0;0.0;0:01.38
19;90;180;0.016666666666666666;0.12837619299299347;0.01888176341666884;0:07.55
19;100;570;0.06140350877192982;0.2402798499969487;0.019767547308503264;0:25.42
19;110;1230;0.14634146341463414;0.3535919791252071;0.019779980221368863;1:06.90
19;120;1980;0.28484848484848485;0.4514562672795899;0.019897425034240093;1:41.62
19;130;2340;0.41794871794871796;0.49332706399265797;0.01999861385520564;1:59.37
19;140;2370;0.5607594936708861;0.49639929023379437;0.019995258058224014;2:14.55
19;150;1980;0.7141414141414142;0.4519365105884344;0.01991859121561467;1:57.79
19;160;1410;0.826950354609929;0.3784244039053644;0.019769281903579655;1:27.28
19;170;870;0.9057471264367816;0.29234826475135023;0.019453344968221882;0:54.78
19;180;480;0.9479166666666666;0.22242690932762857;0.01994865133665852;0:34.36
19;190;240;0.975;0.1564512302530687;0.019894188538233798;0:17.50
19;200;30;1.0;0.0;0.0;0:02.11
19;210;30;1.0;0.0;0.0;0:02.61
19;220;30;1.0;0.0;0.0;0:02.32
19;230;30;1.0;0.0;0.0;0:02.49
19;240;30;1.0;0.0;0.0;0:02.40
19;250;30;1.0;0.0;0.0;0:02.41
19;260;30;1.0;0.0;0.0;0:02.03
19;270;30;1.0;0.0;0.0;0:02.07
19;280;30;1.0;0.0;0.0;0:02.12
19;290;30;1.0;0.0;0.0;0:02.05
19;300;30;1.0;0.0;0.0;0:02.26
19;310;30;1.0;0.0;0.0;0:02.19
19;320;30;1.0;0.0;0.0;0:02.23
19;330;30;1.0;0.0;0.0;0:02.31
19;340;30;1.0;0.0;0.0;0:02.29
19;350;30;1.0;0.0;0.0;0:02.44
19;360;30;1.0;0.0;0.0;0:02.36
19;370;30;1.0;0.0;0.0;0:02.30
19;380;30;1.0;0.0;0.0;0:02.22
19;390;30;1.0;0.0;0.0;0:02.29
19;400;30;1.0;0.0;0.0;0:02.09
19;410;30;1.0;0.0;0.0;0:02.04
19;420;30;1.0;0.0;0.0;0:02.17
19;430;30;1.0;0.0;0.0;0:02.09
19;440;30;1.0;0.0;0.0;0:02.55
19;450;30;1.0;0.0;0.0;0:02.38
19;460;30;1.0;0.0;0.0;0:02.21
